feature,kruskal_statistic,p_value,significant_005
H10_mean_dist_to_exit,2.996598,0.39215,False
H10_mean_path_remaining,11.036998,0.011527,True
H11_mean_dist_to_staircase,6.496799,0.089789,False
H11_min_dist_to_staircase,3.660826,0.300495,False
H11_pct_near_staircase,0.190155,0.979163,False
H12_n_turns,5.210688,0.157004,False
H12_turns_per_length,2.62051,0.453905,False
H12_turns_per_minute,4.923865,0.177458,False
H2_min_width,4.241323,0.236557,False
H2_pct_narrow,3.594782,0.308676,False
H3_mean_connectivity,3.968982,0.264833,False
H3_pct_low_connectivity,6.77267,0.079508,False
H4_max_depth,6.474141,0.090688,False
H4_mean_depth,9.893793,0.019491,True
H5_mean_aspect_ratio,5.491795,0.13913,False
H5_pct_corridor,4.945795,0.17581,False
H6_mean_exhibit_density,5.281814,0.152287,False
H7_mean_t_norm,6.533076,0.088367,False
H7_pct_end,8.617264,0.034837,True
H7_pct_mid,5.648261,0.130035,False
H7_pct_start,5.12033,0.163195,False
H8_n_returns,5.977757,0.112697,False
H8_pct_path_revisit,10.489746,0.014831,True
H9_width_range,1.356942,0.715658,False
H9_width_std,4.109864,0.249843,False
isovist_area_max,3.900945,0.272361,False
isovist_area_mean,4.101035,0.250759,False
isovist_area_min,0.165669,0.982931,False
isovist_area_range,3.771675,0.287198,False
isovist_perimeter_mean,0.781549,0.853875,False
passage_width_mean,1.052608,0.788525,False
pct_large_zone,0.704536,0.872137,False
pct_small_zone,0.668818,0.880513,False
zone_area_mean,0.581749,0.900598,False
